song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside
Perfect Night,2025-06-03,46.0,LE SSERAFIM,83.0,6,2025-06-01,48.0,1
Rainbow,2025-06-04,49.0,Lim Young Woong,55.0,7,2025-05-22,49.0,12
Face-off,2025-06-05,43.0,Jimin,72.0,4,2025-06-02,49.0,2
Interlude : Dive,2025-06-05,41.0,Jimin,82.0,18,2025-05-29,43.0,6
Rainbow,2025-06-07,50.0,Lim Young Woong,55.0,8,2025-06-04,49.0,2
Closer to You (feat. Major Lazer),2025-06-08,48.0,Jung Kook,75.0,14,2025-03-17,50.0,82
Face-off,2025-06-09,41.0,Jimin,68.0,5,2025-06-07,43.0,1
"Our Blues, Our Life",2025-06-10,49.0,Lim Young Woong,51.0,18,2025-05-21,49.0,19
Lucky Girl Syndrome,2025-06-12,48.0,ILLIT,72.0,5,2025-06-09,49.0,2
Cruel Summer,2025-06-12,50.0,Taylor Swift,88.0,8,2025-04-27,48.0,45
Interlude : Dive,2025-06-12,46.0,Jimin,75.0,19,2025-06-08,50.0,3
Attention,2025-06-14,48.0,NewJeans,72.0,10,2025-06-08,44.0,5
Perfect Night,2025-06-14,50.0,LE SSERAFIM,78.0,7,2025-06-11,50.0,2
Rainbow,2025-06-16,49.0,Lim Young Woong,50.0,9,2025-06-11,48.0,4
Cruel Summer,2025-06-17,47.0,Taylor Swift,88.0,9,2025-06-15,49.0,1
plot twist,2025-06-17,49.0,TWS,68.0,3,2025-06-15,46.0,1
Rainbow,2025-06-18,50.0,Lim Young Woong,51.0,10,2025-06-16,49.0,1
Impossible,2025-06-18,49.0,RIIZE,63.0,2,2025-05-25,46.0,23
Midas Touch,2025-06-19,49.0,KISS OF LIFE,75.0,2,2025-06-17,45.0,1
"Our Blues, Our Life",2025-06-21,50.0,Lim Young Woong,51.0,19,2025-06-11,49.0,9
Rainbow,2025-06-21,48.0,Lim Young Woong,51.0,11,2025-06-18,50.0,2
Not Like Us,2025-06-22,47.0,Kendrick Lamar,93.0,3,2025-06-01,44.0,20
A bientot,2025-06-24,45.0,Lim Young Woong,51.0,22,2025-05-07,43.0,47
Girls Never Die,2025-06-24,50.0,tripleS,69.0,2,2025-06-21,42.0,2
"Our Blues, Our Life",2025-06-24,39.0,Lim Young Woong,52.0,20,2025-06-21,50.0,2
Rainbow,2025-06-24,42.0,Lim Young Woong,52.0,12,2025-06-21,48.0,2
Face-off,2025-06-26,47.0,Jimin,69.0,6,2025-06-23,40.0,2
Interlude : Dive,2025-06-28,47.0,Jimin,77.0,20,2025-06-23,50.0,4
Attention,2025-06-28,50.0,NewJeans,75.0,11,2025-06-17,50.0,10
FRI(END)S,2025-06-28,48.0,V,88.0,2,2025-06-25,48.0,2
Midas Touch,2025-06-29,50.0,KISS OF LIFE,77.0,3,2025-06-21,49.0,7
EASY,2025-06-29,48.0,LE SSERAFIM,80.0,2,2025-06-23,48.0,5
Rainbow,2025-06-30,46.0,Lim Young Woong,54.0,13,2025-06-28,49.0,1
FRI(END)S,2025-06-30,49.0,V,88.0,3,2025-06-28,48.0,1
"Our Blues, Our Life",2025-06-30,50.0,Lim Young Woong,54.0,21,2025-06-27,50.0,2
Face-off,2025-07-01,49.0,Jimin,71.0,7,2025-06-29,36.0,1
Alone,2025-07-01,50.0,Jimin,71.0,4,2025-06-29,26.0,1
"Our Blues, Our Life",2025-07-04,49.0,Lim Young Woong,55.0,22,2025-07-01,48.0,2
SHEESH,2025-07-04,50.0,BABYMONSTER,85.0,2,2025-06-30,47.0,3
"Our Blues, Our Life",2025-07-06,48.0,Lim Young Woong,56.0,23,2025-07-04,49.0,1
Face-off,2025-07-06,50.0,Jimin,72.0,8,2025-07-03,49.0,2
Not Like Us,2025-07-07,40.0,Kendrick Lamar,96.0,4,2025-06-29,44.0,7
ETA,2025-07-08,48.0,NewJeans,78.0,10,2025-07-05,47.0,2
"Our Blues, Our Life",2025-07-09,48.0,Lim Young Woong,55.0,24,2025-07-07,48.0,1
ETA,2025-07-14,48.0,NewJeans,78.0,11,2025-07-08,48.0,5
"Our Blues, Our Life",2025-07-15,46.0,Lim Young Woong,56.0,25,2025-07-07,48.0,7
Rainbow,2025-07-15,45.0,Lim Young Woong,56.0,14,2025-07-13,47.0,1
FRI(END)S,2025-07-17,48.0,V,90.0,4,2025-07-14,50.0,2
A bientot,2025-07-18,48.0,Lim Young Woong,55.0,23,2025-06-25,45.0,22
Alone,2025-07-19,43.0,Jimin,71.0,5,2025-07-01,50.0,17
Face-off,2025-07-19,37.0,Jimin,72.0,9,2025-07-06,50.0,12
Ditto,2025-07-20,49.0,NewJeans,79.0,13,2025-07-17,50.0,2
FRI(END)S,2025-07-22,49.0,V,90.0,5,2025-07-20,45.0,1
"Our Blues, Our Life",2025-07-22,46.0,Lim Young Woong,56.0,26,2025-07-20,43.0,1
Please Please Please,2025-07-23,50.0,Sabrina Carpenter,98.0,2,2025-07-21,45.0,1
OMG,2025-07-24,42.0,NewJeans,80.0,13,2025-07-21,50.0,2
Ditto,2025-07-24,45.0,NewJeans,79.0,14,2025-07-20,49.0,3
ETA,2025-07-24,50.0,NewJeans,78.0,12,2025-07-16,49.0,7
Ditto,2025-07-26,50.0,NewJeans,78.0,15,2025-07-24,45.0,1
Klaxon,2025-07-27,47.0,(G)I-DLE,74.0,2,2025-07-24,47.0,2
Rainbow,2025-07-29,47.0,Lim Young Woong,56.0,15,2025-07-24,44.0,4
Cruel Summer,2025-07-31,50.0,Taylor Swift,92.0,10,2025-06-21,45.0,39
Not Like Us,2025-07-31,47.0,Kendrick Lamar,97.0,5,2025-07-28,46.0,2
Please Please Please,2025-08-01,50.0,Sabrina Carpenter,98.0,3,2025-07-24,49.0,7
Ditto,2025-08-03,47.0,NewJeans,79.0,16,2025-07-30,50.0,3
EASY,2025-08-03,50.0,LE SSERAFIM,80.0,3,2025-06-29,48.0,34
Rainbow,2025-08-04,48.0,Lim Young Woong,56.0,16,2025-07-30,47.0,4
Who (Beautiful Mind Remix),2025-08-05,50.0,Jimin,61.0,2,2025-08-03,35.0,1
"Our Blues, Our Life",2025-08-05,49.0,Lim Young Woong,56.0,27,2025-07-24,48.0,11
Cruel Summer,2025-08-07,48.0,Taylor Swift,92.0,11,2025-08-04,47.0,2
Chk Chk Boom,2025-08-07,44.0,Stray Kids,68.0,2,2025-08-03,46.0,3
EASY,2025-08-08,49.0,LE SSERAFIM,79.0,4,2025-08-03,50.0,4
"Our Blues, Our Life",2025-08-09,46.0,Lim Young Woong,55.0,28,2025-08-07,49.0,1
EASY,2025-08-10,38.0,LE SSERAFIM,80.0,5,2025-08-08,49.0,1
Perfect Night,2025-08-10,42.0,LE SSERAFIM,81.0,8,2025-06-20,50.0,50
Ditto,2025-08-10,45.0,NewJeans,78.0,17,2025-08-03,47.0,6
New Jeans,2025-08-11,50.0,NewJeans,78.0,19,2025-08-03,45.0,7
"Our Blues, Our Life",2025-08-12,49.0,Lim Young Woong,56.0,29,2025-08-09,46.0,2
Rainbow,2025-08-12,47.0,Lim Young Woong,56.0,17,2025-08-09,43.0,2
Please Please Please,2025-08-15,47.0,Sabrina Carpenter,98.0,4,2025-08-02,50.0,12
Klaxon,2025-08-15,45.0,(G)I-DLE,75.0,3,2025-07-24,47.0,21
Who (Beautiful Mind Remix),2025-08-17,49.0,Jimin,62.0,3,2025-08-03,35.0,13
Who (Funky Remix),2025-08-17,44.0,Jimin,62.0,2,2025-08-14,49.0,2
OMG,2025-08-17,50.0,NewJeans,80.0,14,2025-07-31,48.0,16
New Jeans,2025-08-18,50.0,NewJeans,78.0,20,2025-08-16,49.0,1
Left and Right (Feat. Jung Kook of BTS),2025-08-18,47.0,Charlie Puth,78.0,8,2025-02-10,46.0,188
Who (Funky Remix),2025-08-20,39.0,Jimin,62.0,3,2025-08-17,44.0,2
Who (Beautiful Mind Remix),2025-08-20,49.0,Jimin,62.0,4,2025-08-17,49.0,2
Who (Instrumental),2025-08-23,46.0,Jimin,61.0,2,2025-08-21,45.0,1
Who (Beautiful Mind Remix),2025-08-23,49.0,Jimin,62.0,5,2025-08-21,49.0,1
Left and Right (Feat. Jung Kook of BTS),2025-08-23,43.0,Charlie Puth,78.0,9,2025-08-21,48.0,1
EASY,2025-08-24,47.0,LE SSERAFIM,79.0,6,2025-08-21,50.0,2
FIELD TRIP,2025-08-24,31.0,¥$ & Kanye West & Ty Dolla $ign,78.0,2,2025-08-10,39.0,13
Super Shy,2025-08-24,49.0,NewJeans,81.0,2,2025-08-22,47.0,1
Please Please Please,2025-08-24,33.0,Sabrina Carpenter,97.0,5,2025-08-16,47.0,7
T.B.H,2025-08-25,44.0,QWER,60.0,2,2025-08-21,47.0,3
Perfect Night,2025-08-25,50.0,LE SSERAFIM,81.0,9,2025-08-19,40.0,5
Cruel Summer,2025-08-25,47.0,Taylor Swift,92.0,12,2025-08-23,47.0,1
EASY,2025-08-26,49.0,LE SSERAFIM,79.0,7,2025-08-24,47.0,1
Who (Acoustic Remix),2025-08-28,45.0,Jimin,63.0,2,2025-08-24,43.0,3
Who (Rock Remix),2025-08-28,42.0,Jimin,63.0,2,2025-08-24,35.0,3
Perfect Night,2025-08-28,48.0,LE SSERAFIM,81.0,10,2025-08-25,50.0,2
HAPPY,2025-08-29,42.0,DAY6,57.0,2,2025-03-21,39.0,160
Big Dawgs,2025-08-29,48.0,Hanumankind & Kalmi,92.0,2,2025-08-27,48.0,1
EASY,2025-08-29,45.0,LE SSERAFIM,79.0,8,2025-08-27,49.0,1
Hype Boy,2025-08-31,47.0,NewJeans,79.0,13,2025-08-27,44.0,3
Cruel Summer,2025-08-31,43.0,Taylor Swift,92.0,13,2025-08-27,47.0,3
Perfect Night,2025-09-01,45.0,LE SSERAFIM,81.0,11,2025-08-28,48.0,3
If I have you only (My love X Nerd Connection),2025-09-02,46.0,Nerd Connection,53.0,5,2025-04-26,44.0,128
Why?,2025-09-02,49.0,PLAVE,55.0,2,2025-08-28,34.0,4
Don't Look Back in Anger - Remastered,2025-09-02,45.0,Oasis,74.0,2,2025-08-31,31.0,1
Small girl (feat. D.O.),2025-09-02,43.0,Lee Young Ji,75.0,2,2025-08-31,44.0,1
Don't Look Back In Anger - Remastered,2025-09-03,45.0,Oasis,78.0,2,2025-09-01,49.0,1
Don't Look Back in Anger - Remastered,2025-09-04,47.0,Oasis,75.0,3,2025-09-02,45.0,1
Like Crazy,2025-09-05,33.0,Jimin,80.0,2,2025-09-03,38.0,1
Touch,2025-09-05,47.0,KATSEYE,82.0,2,2025-09-03,50.0,1
Time of Our Life -Japanese ver.- - Japanese ver.,2025-09-05,50.0,DAY6,55.0,6,2025-08-14,47.0,21
MILLION DOLLAR BABY,2025-09-07,50.0,Tommy Richman,93.0,2,2025-09-04,49.0,2
Welcome to the Show,2025-09-07,44.0,DAY6,59.0,5,2025-04-19,48.0,140
Hype Boy,2025-09-07,46.0,NewJeans,79.0,14,2025-08-31,47.0,6
If I have you only (My love X Nerd Connection),2025-09-07,48.0,Nerd Connection,53.0,6,2025-09-03,46.0,3
Small girl (feat. D.O.),2025-09-09,44.0,Lee Young Ji,74.0,3,2025-09-03,43.0,5
If I have you only (My love X Nerd Connection),2025-09-09,43.0,Nerd Connection,53.0,7,2025-09-07,48.0,1
Ditto,2025-09-13,48.0,NewJeans,78.0,18,2025-08-16,48.0,27
Who (Rock Remix),2025-09-13,49.0,Jimin,64.0,3,2025-08-30,47.0,13
Small girl (feat. D.O.),2025-09-13,50.0,Lee Young Ji,74.0,4,2025-09-11,47.0,1
Hype Boy,2025-09-14,50.0,NewJeans,79.0,15,2025-09-12,46.0,1
If I have you only (My love X Nerd Connection),2025-09-15,50.0,Nerd Connection,53.0,8,2025-09-10,43.0,4
Ditto,2025-09-16,49.0,NewJeans,78.0,19,2025-09-14,49.0,1
You Were Beautiful,2025-09-16,47.0,DAY6,65.0,3,2025-04-20,49.0,148
Hype Boy,2025-09-16,44.0,NewJeans,79.0,16,2025-09-14,50.0,1
Pump Up The Volume!,2025-09-17,47.0,PLAVE,67.0,2,2025-09-15,45.0,1
Cruel Summer,2025-09-18,49.0,Taylor Swift,92.0,14,2025-08-31,43.0,17
T.B.H,2025-09-19,50.0,QWER,60.0,3,2025-08-28,49.0,21
Super Shy,2025-09-19,49.0,NewJeans,81.0,3,2025-08-25,49.0,24
Taste,2025-09-20,47.0,Sabrina Carpenter,96.0,2,2025-09-16,48.0,3
Boom Boom Bass,2025-09-20,48.0,RIIZE,67.0,2,2025-09-18,48.0,1
Who (Rock Remix),2025-09-21,49.0,Jimin,65.0,4,2025-09-13,49.0,7
Who (Acoustic Remix),2025-09-21,50.0,Jimin,64.0,3,2025-08-28,45.0,23
Who (Beautiful Mind Remix),2025-09-22,32.0,Jimin,63.0,6,2025-08-23,49.0,29
Who (Funky Remix),2025-09-22,34.0,Jimin,64.0,4,2025-08-24,42.0,28
Who (Shibuyakei Remix),2025-09-22,31.0,Jimin,64.0,2,2025-08-23,45.0,29
Who (Instrumental),2025-09-22,30.0,Jimin,63.0,3,2025-08-24,45.0,28
Boom Boom Bass,2025-09-23,45.0,RIIZE,67.0,3,2025-09-21,44.0,1
Bubble Gum,2025-09-23,49.0,NewJeans,76.0,2,2025-09-21,42.0,1
Hype Boy,2025-09-23,50.0,NewJeans,79.0,17,2025-09-20,50.0,2
double take,2025-09-25,39.0,Dhruv,83.0,2,2025-09-22,49.0,2
Taste,2025-09-25,47.0,Sabrina Carpenter,96.0,3,2025-09-21,43.0,3
Ditto,2025-09-25,45.0,NewJeans,78.0,20,2025-09-20,49.0,4
踊り子,2025-09-25,44.0,Vaundy,71.0,2,2025-09-22,50.0,2
Who (Instrumental),2025-09-26,50.0,Jimin,63.0,4,2025-09-24,41.0,1
Who (Beautiful Mind Remix),2025-09-27,45.0,Jimin,64.0,7,2025-09-24,45.0,2
Who (Shibuyakei Remix),2025-09-27,47.0,Jimin,64.0,3,2025-09-24,44.0,2
Who (Funky Remix),2025-09-27,49.0,Jimin,64.0,5,2025-09-24,46.0,2
Bubble Gum,2025-09-28,49.0,NewJeans,76.0,3,2025-09-26,49.0,1
Taste,2025-09-28,50.0,Sabrina Carpenter,96.0,4,2025-09-25,47.0,2
Hype Boy,2025-09-29,49.0,NewJeans,78.0,18,2025-09-24,49.0,4
Pleasure Shop,2025-09-29,48.0,KEY,57.0,2,2025-09-27,50.0,1
If I have you only (My love X Nerd Connection),2025-09-29,42.0,Nerd Connection,53.0,9,2025-09-26,46.0,2
T.B.H,2025-09-29,44.0,QWER,59.0,4,2025-09-19,50.0,9
Who (Instrumental),2025-09-30,48.0,Jimin,63.0,5,2025-09-28,42.0,1
Who (Acoustic Remix),2025-09-30,44.0,Jimin,65.0,4,2025-09-28,39.0,1
Who (Beautiful Mind Remix),2025-09-30,49.0,Jimin,64.0,8,2025-09-28,46.0,1
Who (Shibuyakei Remix),2025-09-30,46.0,Jimin,64.0,4,2025-09-28,43.0,1
double take,2025-09-30,47.0,Dhruv,82.0,3,2025-09-26,44.0,3
Who (Funky Remix),2025-10-01,41.0,Jimin,64.0,6,2025-09-28,44.0,2
If We Ever Meet Again,2025-10-01,48.0,Lim Young Woong,56.0,4,2025-09-29,43.0,1
Bubble Gum,2025-10-02,50.0,NewJeans,75.0,4,2025-09-30,45.0,1
Steady,2025-10-02,48.0,NCT WISH,59.0,2,2025-09-29,37.0,2
double take,2025-10-03,48.0,Dhruv,82.0,4,2025-10-01,49.0,1
Nice Guy,2025-10-04,49.0,BOYNEXTDOOR,70.0,2,2025-09-29,46.0,4
Ditto,2025-10-05,50.0,NewJeans,78.0,21,2025-09-25,45.0,9
Melt Down,2025-10-06,40.0,DAY6,65.0,2,2025-10-04,37.0,1
Bubble Gum,2025-10-06,48.0,NewJeans,75.0,5,2025-10-03,50.0,2
Time of Our Life -Japanese ver.- - Japanese ver.,2025-10-06,37.0,DAY6,56.0,7,2025-10-04,41.0,1
You Were Beautiful,2025-10-06,44.0,DAY6,65.0,4,2025-10-04,46.0,1
If We Ever Meet Again,2025-10-07,50.0,Lim Young Woong,55.0,5,2025-10-05,48.0,1
녹아내려요 Melt Down,2025-10-07,40.0,DAY6,55.0,2,2025-10-05,30.0,1
예뻤어,2025-10-07,44.0,DAY6,49.0,2,2025-10-05,43.0,1
한 페이지가 될 수 있게,2025-10-07,35.0,DAY6,52.0,2,2025-10-05,36.0,1
Time of Our Life -Japanese ver.- - Japanese ver.,2025-10-08,40.0,DAY6,56.0,8,2025-10-06,37.0,1
Melt Down,2025-10-08,41.0,DAY6,65.0,3,2025-10-06,40.0,1
You Were Beautiful,2025-10-08,49.0,DAY6,65.0,5,2025-10-06,44.0,1
ETA,2025-10-09,49.0,NewJeans,78.0,13,2025-07-24,50.0,76
T.B.H,2025-10-10,50.0,QWER,59.0,5,2025-10-07,49.0,2
Ditto,2025-10-12,45.0,NewJeans,77.0,22,2025-10-08,50.0,3
Drama,2025-10-12,47.0,aespa,79.0,6,2025-07-16,48.0,87
Hype Boy,2025-10-13,50.0,NewJeans,77.0,19,2025-09-30,50.0,12
OMG,2025-10-13,41.0,NewJeans,78.0,15,2025-08-19,44.0,54
Bubble Gum,2025-10-14,50.0,NewJeans,74.0,6,2025-10-06,48.0,7
You Were Beautiful,2025-10-14,38.0,DAY6,64.0,6,2025-10-08,49.0,5
T.B.H,2025-10-15,47.0,QWER,59.0,6,2025-10-11,49.0,3
London Boy,2025-10-15,45.0,Lim Young Woong,58.0,2,2025-10-13,45.0,1
Who (Funky Remix),2025-10-16,48.0,Jimin,64.0,7,2025-10-14,47.0,1
T.B.H,2025-10-17,48.0,QWER,59.0,7,2025-10-15,47.0,1
Ditto,2025-10-18,39.0,NewJeans,77.0,23,2025-10-16,50.0,1
ETA,2025-10-18,50.0,NewJeans,79.0,14,2025-10-15,50.0,2
Who (Shibuyakei Remix),2025-10-19,39.0,Jimin,65.0,5,2025-10-17,38.0,1
Who (Beautiful Mind Remix),2025-10-19,44.0,Jimin,64.0,9,2025-10-17,43.0,1
Who (Funky Remix),2025-10-19,47.0,Jimin,64.0,8,2025-10-17,44.0,1
double take,2025-10-19,41.0,Dhruv,82.0,5,2025-10-09,50.0,9
ETA,2025-10-20,45.0,NewJeans,79.0,15,2025-10-18,50.0,1
Sticky,2025-10-21,49.0,KISS OF LIFE,79.0,2,2025-10-19,40.0,1
New Jeans,2025-10-21,44.0,NewJeans,76.0,21,2025-08-19,50.0,62
You Were Beautiful,2025-10-21,33.0,DAY6,65.0,7,2025-10-19,46.0,1
SPOT!,2025-10-21,45.0,ZICO & JENNIE,78.0,2,2025-07-25,47.0,87
If I have you only (My love X Nerd Connection),2025-10-22,50.0,Nerd Connection,54.0,10,2025-10-20,47.0,1
Grain of Sand,2025-10-22,47.0,Lim Young Woong,58.0,2,2025-10-20,49.0,1
NEMONEMO,2025-10-22,48.0,YENA,68.0,2,2025-10-20,50.0,1
Do or Die,2025-10-22,46.0,Lim Young Woong,60.0,2,2025-10-20,43.0,1
Ditto,2025-10-23,48.0,NewJeans,77.0,24,2025-10-18,39.0,4
double take,2025-10-24,40.0,Dhruv,82.0,6,2025-10-22,49.0,1
Pump Up The Volume!,2025-10-24,47.0,PLAVE,63.0,3,2025-09-21,47.0,32
"How can I love the heartbreak, you're the one I love",2025-10-24,44.0,AKMU,61.0,2,2025-10-22,44.0,1
WAY 4 LUV,2025-10-25,47.0,PLAVE,60.0,2,2025-08-31,48.0,54
MEOW,2025-10-25,45.0,MEOVV,58.0,2,2025-10-23,47.0,1
NEMONEMO,2025-10-25,50.0,YENA,68.0,3,2025-10-23,44.0,1
ETA,2025-10-26,43.0,NewJeans,79.0,16,2025-10-21,42.0,4
You Were Beautiful,2025-10-26,49.0,DAY6,64.0,8,2025-10-23,46.0,2
Who (Funky Remix),2025-10-27,47.0,Jimin,65.0,9,2025-10-25,46.0,1
Who (Beautiful Mind Remix),2025-10-27,46.0,Jimin,65.0,10,2025-10-25,42.0,1
The Astronaut,2025-10-27,32.0,Jin,82.0,2,2025-06-09,50.0,139
You Were Beautiful,2025-10-28,49.0,DAY6,64.0,9,2025-10-26,49.0,1
Warmth,2025-10-29,50.0,Lim Young Woong,62.0,2,2025-10-26,47.0,2
double take,2025-10-31,49.0,Dhruv,82.0,7,2025-10-29,49.0,1
Warmth,2025-11-01,49.0,Lim Young Woong,62.0,3,2025-10-29,50.0,2
NEMONEMO,2025-11-01,48.0,YENA,69.0,4,2025-10-28,50.0,3
Home,2025-11-01,50.0,Lim Young Woong,62.0,2,2025-10-25,49.0,6
Melt Down,2025-11-01,46.0,DAY6,62.0,4,2025-10-30,48.0,1
You Were Beautiful,2025-11-02,42.0,DAY6,64.0,10,2025-10-29,43.0,3
Grain of Sand,2025-11-03,49.0,Lim Young Woong,58.0,3,2025-10-22,47.0,11
Who (Funky Remix),2025-11-03,50.0,Jimin,65.0,10,2025-11-01,42.0,1
Do or Die,2025-11-03,45.0,Lim Young Woong,59.0,3,2025-10-23,49.0,10
Who (Instrumental),2025-11-04,47.0,Jimin,65.0,6,2025-11-02,50.0,1
Who (Beautiful Mind Remix),2025-11-04,48.0,Jimin,65.0,11,2025-11-01,43.0,2
Who (Shibuyakei Remix),2025-11-04,42.0,Jimin,65.0,6,2025-11-02,48.0,1
London Boy,2025-11-05,49.0,Lim Young Woong,57.0,3,2025-10-18,45.0,17
Ditto,2025-11-05,48.0,NewJeans,77.0,25,2025-10-23,48.0,12
Grain of Sand,2025-11-05,46.0,Lim Young Woong,58.0,4,2025-11-03,49.0,1
NEMONEMO,2025-11-05,44.0,YENA,69.0,5,2025-11-03,48.0,1
ETA,2025-11-05,47.0,NewJeans,79.0,17,2025-10-26,43.0,9
Who (Instrumental),2025-11-06,43.0,Jimin,65.0,7,2025-11-04,47.0,1
Who (Acoustic Remix),2025-11-06,36.0,Jimin,66.0,5,2025-11-04,40.0,1
Who (Beautiful Mind Remix),2025-11-06,41.0,Jimin,65.0,12,2025-11-04,48.0,1
Who (Funky Remix),2025-11-06,40.0,Jimin,65.0,11,2025-11-04,46.0,1
Who (Rock Remix),2025-11-06,35.0,Jimin,67.0,5,2025-11-04,39.0,1
Who (Shibuyakei Remix),2025-11-06,37.0,Jimin,65.0,7,2025-11-04,42.0,1
You Were Beautiful,2025-11-07,48.0,DAY6,64.0,11,2025-11-05,38.0,1
London Boy,2025-11-08,50.0,Lim Young Woong,57.0,4,2025-11-05,49.0,2
CROOKED,2025-11-09,47.0,G-DRAGON,62.0,2,2025-11-05,40.0,3
Melt Down,2025-11-10,42.0,DAY6,61.0,5,2025-11-07,50.0,2
That's What I Like,2025-11-11,45.0,Bruno Mars,87.0,2,2024-06-21,43.0,507
NEMONEMO,2025-11-12,49.0,YENA,69.0,6,2025-11-06,47.0,5
London Boy,2025-11-13,49.0,Lim Young Woong,57.0,5,2025-11-09,50.0,3
Touch,2025-11-15,50.0,KATSEYE,85.0,3,2025-11-11,39.0,3
London Boy,2025-11-16,50.0,Lim Young Woong,57.0,6,2025-11-14,49.0,1
Who (Instrumental),2025-11-18,50.0,Jimin,65.0,8,2025-11-16,40.0,1
"How can I love the heartbreak, you're the one I love",2025-11-18,49.0,AKMU,62.0,3,2025-11-16,48.0,1
Drowning,2025-11-19,49.0,WOODZ,61.0,2,2025-11-17,49.0,1
Do or Die,2025-11-19,46.0,Lim Young Woong,59.0,4,2025-11-16,47.0,2
London Boy,2025-11-19,50.0,Lim Young Woong,57.0,7,2025-11-16,50.0,2
Who (Instrumental),2025-11-20,44.0,Jimin,65.0,9,2025-11-18,50.0,1
Who (Beautiful Mind Remix),2025-11-20,45.0,Jimin,65.0,13,2025-11-16,41.0,3
Who (Shibuyakei Remix),2025-11-20,41.0,Jimin,66.0,8,2025-11-18,48.0,1
Who (Funky Remix),2025-11-20,46.0,Jimin,65.0,12,2025-11-17,50.0,2
Armageddon,2025-11-21,50.0,aespa,72.0,2,2025-11-19,41.0,1
Welcome to the Show,2025-11-21,47.0,DAY6,59.0,6,2025-11-19,38.0,1
CRAZY,2025-11-22,45.0,LE SSERAFIM,80.0,2,2025-11-20,39.0,1
Drowning,2025-11-22,49.0,WOODZ,61.0,3,2025-11-19,49.0,2
You Were Beautiful,2025-11-23,46.0,DAY6,65.0,12,2025-11-20,48.0,2
I will come to you,2025-11-23,47.0,Jin,53.0,2,2025-11-21,37.0,1
You Were Beautiful,2025-11-26,48.0,DAY6,65.0,13,2025-11-23,46.0,2
Tick-Tack,2025-11-27,50.0,ILLIT,74.0,2,2025-11-24,49.0,2
"무제(無題) (Untitled, 2014)",2025-11-27,43.0,G-DRAGON,61.0,2,2025-11-05,50.0,21
CROOKED,2025-11-27,47.0,G-DRAGON,65.0,3,2025-11-10,50.0,16
